Find total 78215 solutions out of 160000 experiments: only situation1 59951, only situation2 15920 and both situations 2344
d2:0.10, d3:0.10, alpha1:0.60 arcsec, alpha2:0.31 arcsec, h1:2.71e-05, h2:1.49e-06, h3:2.92e-07, h4:1.49e-07
d2:0.10, d3:0.10, alpha1:0.90 arcsec, alpha2:0.31 arcsec, h1:2.71e-05, h2:1.49e-06, h3:4.34e-07, h4:1.49e-07
d2:0.10, d3:0.10, alpha1:0.90 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:4.34e-07, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:1.19 arcsec, alpha2:0.31 arcsec, h1:2.71e-05, h2:1.49e-06, h3:5.77e-07, h4:1.49e-07
d2:0.10, d3:0.10, alpha1:1.19 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:5.77e-07, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:1.19 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:5.77e-07, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:1.48 arcsec, alpha2:0.31 arcsec, h1:2.71e-05, h2:1.49e-06, h3:7.19e-07, h4:1.49e-07
d2:0.10, d3:0.10, alpha1:1.48 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:7.19e-07, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:1.48 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:7.19e-07, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:1.48 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:7.19e-07, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:1.78 arcsec, alpha2:0.31 arcsec, h1:2.71e-05, h2:1.49e-06, h3:8.62e-07, h4:1.49e-07
d2:0.10, d3:0.10, alpha1:1.78 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:8.62e-07, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:1.78 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:8.62e-07, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:1.78 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:8.62e-07, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:1.78 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:8.62e-07, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:2.07 arcsec, alpha2:0.31 arcsec, h1:2.71e-05, h2:1.49e-06, h3:1.00e-06, h4:1.49e-07
d2:0.10, d3:0.10, alpha1:2.07 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:1.00e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:2.07 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:1.00e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:2.07 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:1.00e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:2.07 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:1.00e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:2.07 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:1.00e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:2.37 arcsec, alpha2:0.31 arcsec, h1:2.71e-05, h2:1.49e-06, h3:1.15e-06, h4:1.49e-07
d2:0.10, d3:0.10, alpha1:2.37 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:1.15e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:2.37 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:1.15e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:2.37 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:1.15e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:2.37 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:1.15e-06, h4:7.19e-07
